store_id,sku_id,category,impression_count,pick_count,conversion_rate
STORE02,SKU047,Cereals,91344,11204,0.1227
STORE02,SKU048,Cereals,53893,9410,0.1746
STORE02,SKU049,Cereals,163926,13397,0.0817
STORE02,SKU050,Cereals,158591,16584,0.1046
STORE03,SKU001,Beverages,29203,5953,0.2038
STORE03,SKU002,Beverages,13588,3443,0.2534
STORE03,SKU003,Beverages,33187,8994,0.271
STORE03,SKU004,Beverages,54050,15971,0.2955
STORE03,SKU005,Beverages,22496,5633,0.2504
STORE03,SKU006,Snacks,53051,7260,0.1368
STORE03,SKU007,Snacks,34832,10598,0.3043
STORE03,SKU008,Snacks,46061,8801,0.1911
STORE03,SKU009,Snacks,111156,19596,0.1763
STORE03,SKU010,Snacks,56014,13225,0.2361
STORE03,SKU011,Dairy,52520,10897,0.2075
STORE03,SKU012,Dairy,45198,7816,0.1729
STORE03,SKU013,Dairy,99502,15223,0.153
STORE03,SKU014,Dairy,96177,20634,0.2145
STORE03,SKU015,Dairy,29414,4878,0.1658
STORE03,SKU016,Bakery,179666,18725,0.1042
STORE03,SKU017,Bakery,91366,14660,0.1605
STORE03,SKU018,Bakery,76441,17523,0.2292
STORE03,SKU019,Bakery,132192,18897,0.143
STORE03,SKU020,Bakery,139940,14607,0.1044
STORE03,SKU021,Canned Goods,238564,17910,0.0751
STORE03,SKU022,Canned Goods,51203,7198,0.1406
STORE03,SKU023,Canned Goods,87572,12970,0.1481
STORE03,SKU024,Canned Goods,111958,10054,0.0898
STORE03,SKU025,Canned Goods,104605,14216,0.1359
STORE03,SKU026,Frozen Foods,104813,20692,0.1974
STORE03,SKU027,Frozen Foods,86374,14760,0.1709
STORE03,SKU028,Frozen Foods,167438,12302,0.0735
STORE03,SKU029,Frozen Foods,130926,10708,0.0818
STORE03,SKU030,Frozen Foods,54027,4999,0.0925
STORE03,SKU031,Personal Care,177988,12768,0.0717
STORE03,SKU032,Personal Care,87466,8449,0.0966
STORE03,SKU033,Personal Care,65624,4229,0.0644
STORE03,SKU034,Personal Care,167182,10835,0.0648
STORE03,SKU035,Personal Care,161604,13448,0.0832
STORE03,SKU036,Household,222844,11711,0.0526
STORE03,SKU037,Household,145712,7957,0.0546
STORE03,SKU038,Household,99019,6224,0.0629
STORE03,SKU039,Household,328254,18852,0.0574
STORE03,SKU040,Household,99304,9573,0.0964
STORE03,SKU041,Condiments,96982,7680,0.0792
STORE03,SKU042,Condiments,94826,6575,0.0693
STORE03,SKU043,Condiments,103721,15207,0.1466
STORE03,SKU044,Condiments,78735,12153,0.1544
STORE03,SKU045,Condiments,96632,15652,0.162
STORE03,SKU046,Cereals,108814,11780,0.1083
STORE03,SKU047,Cereals,125217,17439,0.1393
STORE03,SKU048,Cereals,177226,19208,0.1084
STORE03,SKU049,Cereals,78409,10718,0.1367
STORE03,SKU050,Cereals,103216,14386,0.1394
